header,title,title_url,channel_name,channel_url,timestamp,products,activity_controls,video_id,duration_seconds,topic_categories
YouTube,Watched Nick Sirianni “Sorry” for Yelling at Eagles Fans,https://www.youtube.com/watch?v=6oGg0B7bV-4,Jeff Skversky,https://www.youtube.com/channel/UCOWr7ifT5mvqlS5FJhiFrcA,2024-10-20 13:59:35.562000+00:00,YouTube,YouTube watch history,6oGg0B7bV-4,632.0,"['American football', 'Sport']"
YouTube,"Watched Jason Kelce weighed in on Nick Sirianni after Yelling at Eagles Fan: ""He's passionate” via ESPN",https://www.youtube.com/watch?v=pc00vkRS-mg,Jeff Skversky,https://www.youtube.com/channel/UCOWr7ifT5mvqlS5FJhiFrcA,2024-10-20 13:58:31.865000+00:00,YouTube,YouTube watch history,pc00vkRS-mg,70.0,"['American football', 'Sport']"
YouTube,Watched Travis and Jason can't stop laughing at Cowboys guard Tyler Smith's postgame interview,https://www.youtube.com/watch?v=n_2-OWtqJGg,New Heights,https://www.youtube.com/channel/UCVRm2Ho8cL3lvWDyp2ayuFw,2024-10-20 13:54:47.109000+00:00,YouTube,YouTube watch history,n_2-OWtqJGg,209.0,"['American football', 'Sport']"
YouTube,Watched Juan Soto 3-Run Home Run Sends Yankees to the World Series | 2024 MLB Postseason,https://www.youtube.com/watch?v=eNw5U1sdMvM,Bleacher Report,https://www.youtube.com/channel/UC9-OpMMVoNP5o10_Iyq7Ndw,2024-10-20 13:53:02.539000+00:00,YouTube,YouTube watch history,eNw5U1sdMvM,105.0,"['Baseball', 'Sport']"
YouTube,"Watched Not mad, just disappointed The Captain didn't take the Yankees #shorts",https://www.youtube.com/watch?v=E_828yc1vNE,New York Post Sports,https://www.youtube.com/channel/UCR7hOJFBzhEpgwBL_HJVteA,2024-10-20 13:51:51.747000+00:00,YouTube,YouTube watch history,E_828yc1vNE,57.0,"['Baseball', 'Sport']"
YouTube,Watched Ali Wong Shares Mom's Brutally Honest Divorce Reaction,https://www.youtube.com/watch?v=seW0_VSzuHg,The Kelly Clarkson Show,https://www.youtube.com/channel/UCmSQ47G2NHhcjRAm9Px6R3g,2024-10-20 13:48:36.784000+00:00,YouTube,YouTube watch history,seW0_VSzuHg,243.0,"['Entertainment', 'Film', 'Humour', 'Television program']"
YouTube,Watched Taylor Swift bragging about Kam on the chiefs game and taking a picture with Travis Kelce...,https://www.youtube.com/watch?v=RyZwXUCwwu0,Swiftly Explained,https://www.youtube.com/channel/UCKTZ2MmK0_9hZVBhiuVp_xw,2024-10-20 13:47:51.065000+00:00,YouTube,YouTube watch history,RyZwXUCwwu0,25.0,"['American football', 'Sport']"
YouTube,Watched Dalton Knecht goes INSANE and scores 20 straight points to win in OT vs Suns 🔥,https://www.youtube.com/watch?v=T7t2eWFbiZY,Chaz NBA,https://www.youtube.com/channel/UChgDp_uE5PVqnpdV05xKOOA,2024-10-20 13:44:44.983000+00:00,YouTube,YouTube watch history,T7t2eWFbiZY,247.0,"['Basketball', 'Sport']"
YouTube,Watched Bill Belichick talks Russell Wilson’s and Deshaun Watson’s contracts,https://www.youtube.com/watch?v=zwVL2jdVQQc,COACH,https://www.youtube.com/channel/UCl-B3f8jkP4wKpijmCucM_Q,2024-10-20 13:44:15.317000+00:00,YouTube,YouTube watch history,zwVL2jdVQQc,35.0,"['American football', 'Association football', 'Sport']"
YouTube,Watched Rex Ryan speaking facts 😅 #shorts,https://www.youtube.com/watch?v=7elSlPioBdU,ESPN,https://www.youtube.com/channel/UCiWLfSweyRNmLpgEHekhoAg,2024-10-20 13:43:51.365000+00:00,YouTube,YouTube watch history,7elSlPioBdU,18.0,"['American football', 'Sport', 'Television program']"
